bsid	biosystem_ncbi_gene_id
287	171965
287	172744
287	172751
287	173393
287	173843
287	174423
287	174798
287	174844
287	175500
287	175820
287	175827
287	176056
287	176749
287	177108
287	178524
287	178680
287	178723
287	179026
287	179335
287	179627
287	179628
287	180583
287	183957
287	4363084
297	171738
297	174548
297	178956
297	3565206
303	172216
303	172969
303	173279
303	174059
303	174272
303	174435
303	174596
303	174692
303	174712
303	174899
303	174993
303	175038
303	175186
303	175299
303	175371
303	175397
303	175429
303	175904
303	176008
303	176178
303	176338
303	176383
303	177017
303	177018
303	177103
303	177442
303	177606
303	177626
303	177757
303	177856
303	178219
303	178830
303	179223
303	179661
303	179690
303	179850
303	180372
303	184827
303	186814
303	187779
303	188925
303	191132
303	266653
303	266824
303	2565694
303	2565695
303	2565696
303	2565697
303	2565698
303	2565699
303	2565701
303	2565702
303	2565703
303	2565704
303	2565705
336	171619
336	178453
336	180364
336	180434
364	171594
364	171770
364	171905
364	172097
364	172457
364	172509
364	172587
364	173272
364	173734
364	173876
364	174068
364	174296
364	174902
364	174916
364	175074
364	175339
364	175565
364	176225
364	176399
364	178928
364	179031
364	179032
364	179105
364	179313
364	179398
364	179853
364	180354
364	180452
364	180519
364	180703
364	180824
364	181047
364	181196
364	181211
364	181241
364	181252
364	181671
364	181904
364	181905
364	182374
364	184910
364	186262
364	188971
368	173162
368	173164
368	176353
368	180354
368	181196
368	181668
368	182374
368	184167
397	172979
398	172263
404	172681
404	175842
404	176762
404	181176
404	181823
404	186073
404	187263
404	188966
404	190886
425	174507
425	175591
425	178680
425	178940
425	179036
425	179627
425	179628
425	180404
425	181205
425	181413
425	183000
425	183957
425	184405
425	185500
425	188072
425	188073
425	191563
425	353420
425	13190517
427	174507
427	175591
427	176491
427	177954
427	177958
427	178596
427	178680
427	178940
427	179627
427	179628
427	179845
427	180404
427	181205
427	181413
427	183000
427	183957
427	184405
427	185500
427	188072
427	188073
427	191563
427	353420
427	13190517
428	173323
428	173326
428	174040
428	174507
428	174672
428	175591
428	175724
428	176077
428	176453
428	177457
428	177852
428	177913
428	178160
428	178633
428	178910
428	178940
428	179020
428	180404
428	180818
428	181205
428	181413
428	183546
428	185500
428	186044
428	188072
428	188073
436	171694
436	172262
436	172288
436	174127
436	178215
436	180165
436	181276
436	181326
436	181327
436	181415
436	181416
436	183971
436	184845
436	190115
442	171763
442	171877
442	172081
442	172412
442	172680
442	174208
442	174630
442	175015
442	175056
442	175660
442	175668
442	175767
442	176362
442	176950
442	177190
442	177491
442	178823
442	179178
442	179418
442	182648
442	184886
442	189252
446	32095
446	32505
446	32968
446	33905
446	34333
446	36310
446	37337
446	38593
446	38815
446	38819
446	38883
446	39028
446	39222
446	40815
446	42436
446	42439
446	42885
446	46080
446	47251
446	47283
446	50096
450	11363
450	11364
450	11430
450	11450
450	11806
450	11807
450	11832
450	12140
450	12491
450	12894
450	12895
450	12896
450	13117
450	13118
450	13119
450	13122
450	13124
450	14077
450	14079
450	14080
450	14081
450	14626
450	14933
450	15360
450	16204
450	16592
450	16956
450	17436
450	18830
450	19015
450	20181
450	20182
450	20183
450	20249
450	20250
450	20280
450	20411
450	22190
450	26457
450	26458
450	26459
450	30049
450	50790
450	56473
450	57875
450	66113
450	74147
450	74205
450	78070
450	78625
450	83995
450	83996
450	93732
450	94180
450	103968
450	104086
450	108078
450	113868
450	216739
450	230639
450	235674
450	277753
450	328845
450	329065
450	433256
450	435802
450	666168
450	100040843
456	171933
456	172246
456	172757
456	173880
456	173904
456	174233
456	174805
456	174806
456	174875
456	175625
456	175862
456	175909
456	175954
456	176808
456	176968
456	177111
456	177244
456	177513
456	177610
456	177611
456	177709
456	177894
456	179462
456	179469
456	180263
456	180873
456	181004
456	181166
456	181168
456	181344
456	181457
456	181556
456	186939
456	190882
456	3565569
458	171722
458	174586
458	176968
458	179527
458	180419
458	180690
458	180873
458	181004
458	181166
458	181261
458	183461
458	187536
458	3565956
459	172914
459	173200
459	173929
459	174586
