bsid	entry_stable_id
523	AF_000822
523	AF_001213
523	AF_001552
523	AF_004635
524	AF_001488
524	AF_001552
525	AF_001552
526	AF_000266
526	AF_000804
526	AF_001213
526	AF_001552
526	AF_004635
527	AF_001552
527	AF_004635
528	AF_001552
528	AF_001982
528	AF_004635
529	AF_001682
530	AF_000008
530	AF_001213
530	AF_001552
531	AF_001552
2020	AF_005100
2020	AF_006732
2020	AF_006809
2020	AF_007289
2020	AF_009011
2020	AF_009017
2020	AF_009020
2021	AF_004229
2021	AF_004823
2021	AF_004863
2021	AF_005143
2021	AF_005213
2021	AF_005673
2021	AF_005798
2021	AF_005985
2021	AF_006376
2021	AF_006654
2021	AF_008775
2021	AF_009017
2021	AF_009020
2022	AF_006809
2022	AF_007289
2022	AF_009011
2022	AF_009451
2023	AF_006164
2023	AF_006819
2024	AF_006809
2024	AF_009011
2025	AF_006819
2027	AF_009253
2028	AF_005346
2029	AF_006747
2029	AF_006931
2029	AF_009253
2030	AF_006931
2031	AF_008854
2033	AF_004857
2035	AF_004229
2035	AF_004348
2035	AF_004424
2035	AF_004438
2035	AF_004549
2035	AF_004823
2035	AF_004831
2035	AF_004850
2035	AF_004863
2035	AF_004933
2035	AF_005120
2035	AF_005216
2035	AF_005221
2035	AF_005435
2035	AF_005495
2035	AF_005867
2035	AF_006324
2035	AF_006328
2035	AF_006376
2035	AF_006437
2035	AF_006462
2035	AF_006559
2035	AF_006560
2035	AF_006563
2035	AF_006639
2035	AF_006647
2035	AF_006803
2035	AF_006890
2035	AF_006932
2035	AF_006981
2035	AF_007032
2035	AF_007035
2035	AF_007044
2035	AF_007060
2035	AF_007063
2035	AF_007176
2035	AF_007236
2035	AF_007246
2035	AF_007272
2035	AF_007339
2035	AF_007346
2035	AF_008754
2035	AF_008971
2035	AF_009243
2035	AF_009265
2035	AF_009454
2037	AF_004523
2037	AF_006464
2037	AF_006496
2037	AF_006703
2037	AF_006924
2037	AF_007185
2038	AF_006703
2039	AF_004523
2039	AF_006464
2039	AF_006496
2039	AF_007185
2042	AF_006732
2042	AF_009017
2045	AF_006931
2045	AF_009017
2048	AF_004381
2048	AF_004414
2048	AF_005798
2048	AF_006931
2049	AF_003979
2051	AF_003966
2055	AF_004662
2055	AF_005798
2055	AF_006931
2057	AF_007141
2058	AF_007141
2060	AF_005032
2061	AF_009267
2064	AF_004867
2064	AF_005041
2064	AF_005081
2064	AF_005568
2064	AF_008775
2065	AF_006819
2065	AF_007289
2065	AF_009012
2065	AF_009267
2066	AF_006449
2069	AF_006819
2069	AF_007289
2077	AF_006566
2078	AF_003959
2078	AF_005782
2078	AF_006292
2078	AF_006789
2080	AF_002780
2080	AF_004430
2080	AF_006566
2084	AF_006747
2085	AF_005505
2085	AF_005897
2085	AF_006797
2085	AF_007266
2088	AF_005143
2088	AF_005213
2088	AF_006654
2088	AF_006931
2088	AF_007192
2088	AF_009017
2088	AF_009020
2091	AF_004662
2091	AF_005143
2091	AF_005673
2091	AF_006654
2091	AF_006931
2091	AF_009017
2093	AF_006931
2093	AF_009017
2096	AF_006931
2096	AF_007141
2100	AF_006124
2101	AF_004890
2103	AF_006339
2106	AF_005011
2109	AF_004891
2109	AF_005465
2110	AF_006931
2110	AF_008856
2113	AF_005353
2117	AF_004513
2117	AF_005004
2117	AF_005032
2117	AF_005417
2117	AF_007323
2118	AF_004867
2118	AF_005041
2118	AF_005081
2118	AF_005568
2119	AF_004867
2119	AF_005041
2119	AF_005081
2119	AF_005568
2120	AF_006703
2121	AF_006479
2121	AF_006747
2121	AF_007062
2121	AF_007086
2122	AF_006497
2122	AF_007278
2123	AF_003933
2123	AF_004278
2123	AF_004358
2123	AF_004829
2123	AF_004854
2123	AF_004969
2123	AF_005007
2123	AF_005059
2123	AF_005164
2123	AF_005207
2123	AF_005319
2123	AF_005496
2123	AF_005660
2123	AF_005666
2123	AF_006444
2123	AF_006580
2123	AF_006622
2123	AF_006686
2123	AF_009038
2123	AF_009231
2124	AF_004523
2124	AF_006496
2125	AF_004198
2125	AF_006074
2125	AF_006619
2125	AF_007154
2126	AF_007120
2126	AF_007185
2127	AF_004318
2127	AF_004359
2127	AF_004404
2127	AF_004543
2127	AF_004759
2127	AF_004846
2127	AF_004918
2127	AF_005076
2127	AF_005108
2127	AF_005147
2127	AF_005150
2127	AF_005161
2127	AF_005257
2127	AF_005467
2127	AF_005675
2127	AF_006084
2127	AF_006085
2127	AF_006286
2127	AF_006412
2127	AF_006480
2127	AF_006620
2127	AF_006720
2127	AF_006804
2127	AF_006911
2127	AF_006954
2127	AF_007019
2127	AF_007202
2129	AF_006895
2130	AF_006089
2130	AF_007154
2132	AF_005901
2134	AF_003953
2134	AF_003959
2134	AF_003968
2134	AF_004296
2134	AF_004313
2134	AF_004864
2134	AF_004946
2134	AF_004949
2134	AF_005180
2134	AF_005425
2134	AF_005700
2134	AF_005708
2134	AF_006383
2134	AF_006689
2134	AF_007054
2134	AF_007107
2134	AF_007148
2134	AF_007184
2135	AF_004515
2135	AF_004949
2135	AF_006292
2135	AF_006307
2135	AF_006579
2135	AF_006706
2135	AF_006753
2135	AF_006841
2135	AF_006852
2135	AF_006880
2135	AF_007043
2136	AF_003959
2136	AF_004430
2136	AF_005782
2136	AF_006292
2136	AF_006579
2136	AF_006789
2136	AF_007107
2139	AF_005770
2139	AF_005803
2139	AF_005825
2139	AF_005937
2139	AF_006089
2139	AF_006193
2139	AF_006425
2139	AF_006426
2139	AF_006428
2139	AF_006468
2139	AF_006645
2139	AF_006650
2139	AF_006651
2139	AF_006667
2139	AF_006696
2139	AF_006914
2139	AF_007187
2139	AF_007230
2139	AF_007262
2140	AF_005324
2141	AF_004750
2141	AF_005104
2141	AF_005657
2141	AF_006867
2141	AF_007005
2141	AF_007234
2141	AF_007288
2142	AF_003953
2142	AF_003959
2142	AF_004296
2142	AF_004864
2142	AF_004980
2142	AF_005104
2142	AF_005425
2142	AF_005657
2142	AF_005660
2142	AF_005708
2142	AF_005807
2142	AF_006011
2142	AF_006329
2142	AF_007033
2142	AF_007107
2142	AF_007184
2144	AF_003968
2144	AF_004553
2144	AF_005803
2144	AF_005825
2144	AF_006292
2144	AF_006307
2144	AF_006425
2144	AF_006426
2144	AF_006428
2144	AF_006645
2144	AF_006650
2144	AF_006651
2144	AF_006667
2144	AF_006696
2144	AF_006706
2144	AF_006914
2144	AF_007187
2146	AF_005803
2147	AF_004290
2147	AF_004864
2147	AF_005825
2147	AF_006425
2147	AF_006426
2147	AF_006428
2147	AF_006645
2147	AF_006650
2147	AF_006651
2147	AF_006667
2147	AF_006696
2147	AF_006914
2147	AF_007184
2147	AF_007187
2147	AF_009009
2149	AF_003953
2149	AF_003959
2149	AF_004296
2149	AF_004313
2149	AF_005425
2149	AF_007054
2149	AF_007107
2965	AF_007604
2965	AF_007738
2966	AF_007451
2980	AF_001362
2980	AF_003619
2980	AF_003652
2980	AF_003653
2980	AF_007532
2980	AF_007604
2980	AF_007738
2980	AF_009261
2982	AF_002944
2982	AF_007401
2982	AF_007774
2983	AF_007774
3002	AF_008797
3011	AF_007451
3011	AF_007560
3011	AF_007673
3011	AF_007821
3013	AF_003101
3024	AF_007650
3024	AF_007747
3026	AF_004731
3038	AF_008797
3057	AF_007822
3066	AF_007821
3068	AF_007821
3069	AF_007774
3077	AF_002358
3086	AF_007650
3086	AF_007747
3091	AF_003638
3091	AF_003885
3091	AF_003888
3092	AF_004354
3092	AF_007389
3092	AF_007650
3092	AF_007676
3092	AF_007697
3092	AF_007715
3092	AF_007843
3092	AF_009258
3094	AF_004041
3094	AF_004086
3096	AF_007767
3097	AF_004041
3098	AF_007389
3100	AF_007650
3100	AF_007676
3100	AF_009258
83126	AF_001585
83127	AF_001585
83129	AF_000941
83139	AF_008241
83143	AF_000064
83144	AF_002732
83144	AF_008497
83146	AF_008497
83157	AF_000064
83163	AF_009275
83173	AF_000941
83174	AF_000439
83186	AF_001213
83197	AF_001585
83200	AF_009275
83219	AF_000252
83220	AF_004605
83235	AF_008144
83236	AF_004056
83236	AF_008497
83239	AF_001488
83239	AF_001585
83240	AF_008480
83240	AF_009282
83241	AF_008144
83241	AF_008475
83241	AF_008529
83242	AF_008490
83243	AF_008549
83244	AF_003676
83245	AF_000266
83245	AF_000861
83245	AF_001552
83246	AF_001682
83246	AF_001982
83246	AF_004635
83247	AF_000064
83247	AF_002978
83247	AF_003018
83248	AF_000398
83249	AF_001213
83250	AF_000042
83250	AF_000398
83250	AF_000408
83250	AF_000520
83250	AF_003018
83251	AF_001552
83251	AF_001997
83251	AF_003890
83251	AF_004056
83251	AF_004105
83251	AF_004161
83251	AF_004635
83251	AF_007978
83252	AF_000804
83252	AF_001213
83252	AF_001552
83252	AF_001651
83252	AF_001997
83252	AF_003890
83252	AF_004027
83252	AF_004635
83252	AF_007978
83253	AF_004147
83253	AF_007973
83255	AF_000822
83256	AF_000368
83256	AF_000804
83256	AF_000822
83256	AF_001213
83256	AF_001682
83257	AF_001552
83257	AF_001733
83257	AF_001997
83257	AF_004027
83258	AF_001552
83261	AF_001682
83263	AF_000064
83264	AF_000008
83264	AF_000804
83264	AF_001213
83264	AF_001982
83264	AF_008185
83265	AF_000008
83267	AF_004747
83268	AF_001213
83269	AF_002732
83270	AF_001736
83272	AF_003018
83274	AF_000398
83274	AF_000520
83274	AF_001769
83274	AF_004635
83276	AF_001982
83281	AF_003864
83281	AF_008230
83283	AF_000804
83286	AF_000008
83286	AF_000266
83286	AF_000822
83287	AF_000025
83287	AF_000368
83287	AF_000822
83287	AF_001585
83287	AF_001682
83287	AF_001733
83287	AF_001769
83287	AF_001982
83287	AF_004747
83288	AF_002732
83289	AF_002732
83290	AF_000025
83290	AF_000368
83290	AF_001585
83291	AF_000025
83291	AF_000368
83291	AF_000822
83291	AF_001769
83291	AF_004747
83292	AF_000822
83293	AF_000822
83294	AF_003843
83295	AF_002732
83295	AF_002978
83296	AF_001552
83296	AF_004027
83296	AF_009275
83297	AF_000584
83297	AF_001301
83297	AF_001488
83297	AF_001552
83297	AF_002978
83297	AF_004027
83298	AF_000008
83298	AF_000266
83298	AF_000804
83298	AF_001213
83298	AF_001488
83298	AF_001552
83298	AF_002732
83298	AF_003018
83298	AF_004027
83298	AF_004635
83298	AF_008490
83299	AF_001552
83299	AF_004027
83299	AF_008490
83301	AF_001552
83302	AF_001213
83302	AF_001552
83303	AF_000804
83303	AF_001213
83303	AF_001552
83303	AF_001982
83303	AF_004635
83304	AF_000804
83304	AF_000822
83304	AF_001213
83304	AF_001552
83304	AF_004635
83305	AF_001488
83305	AF_001552
83306	AF_001552
83307	AF_000266
83307	AF_000804
83307	AF_001213
83307	AF_001552
83307	AF_004635
83308	AF_001552
83308	AF_004635
83309	AF_001552
83309	AF_001982
83309	AF_004635
83310	AF_001682
83311	AF_000008
83311	AF_001213
83311	AF_001552
83312	AF_001552
83410	AF_000411
88954	AF_008739
96531	AF_002732
96531	AF_003018
96864	AF_001982
96864	AF_002732
96864	AF_008950
96865	AF_001362
96865	AF_003151
96865	AF_003152
96865	AF_004264
96865	AF_004819
96865	AF_005867
96865	AF_005897
96865	AF_007060
96865	AF_007199
96865	AF_009455
96866	AF_002732
96866	AF_003018
96893	AF_004264
96893	AF_004819
96893	AF_005867
96893	AF_005897
96893	AF_007060
96893	AF_007199
96901	AF_001362
96901	AF_003151
96901	AF_003152
96901	AF_009455
99271	AF_001982
99271	AF_002732
100064	AF_000368
100064	AF_001552
100064	AF_001982
100064	AF_004027
100065	AF_004027
100101	AF_007141
101156	AF_000368
101156	AF_001552
101156	AF_001982
101156	AF_004027
101157	AF_004027
102183	AF_004819
102183	AF_004949
102183	AF_005211
102183	AF_005815
102183	AF_005849
102183	AF_006443
102183	AF_006515
102183	AF_006562
102183	AF_007027
102183	AF_007046
102183	AF_007069
102183	AF_007196
102183	AF_007262
102183	AF_008845
102183	AF_008875
102186	AF_007543
102186	AF_007688
102186	AF_009283
102286	AF_008185
103452	AF_004259
103452	AF_004526
103452	AF_005143
103452	AF_006654
103461	AF_007560
103461	AF_007673
106590	AF_001682
106591	AF_000804
106591	AF_008602
106591	AF_008614
114297	AF_001682
114298	AF_000804
114298	AF_008602
114298	AF_008614
116129	AF_008602
116129	AF_008614
116160	AF_004241
116160	AF_004458
116160	AF_006334
116160	AF_006524
116160	AF_006754
116160	AF_007103
116160	AF_007238
116160	AF_007325
117303	AF_008602
117303	AF_008614
119305	AF_000804
119305	AF_000822
119305	AF_002732
119907	AF_006753
119907	AF_007130
119908	AF_004313
119908	AF_004864
119908	AF_004946
119908	AF_004949
119908	AF_005700
119908	AF_007054
119908	AF_007224
119912	AF_004137
121285	AF_000804
121285	AF_002732
121285	AF_008602
121285	AF_008614
121495	AF_000804
121495	AF_002732
121495	AF_008602
121495	AF_008614
124837	AF_005129
124837	AF_005334
124837	AF_005357
124837	AF_006107
124837	AF_007325
124837	AF_009388
124840	AF_007688
124840	AF_009283
125147	AF_008185
125147	AF_008602
126872	AF_000804
126872	AF_000822
126872	AF_002732
126913	AF_000804
126913	AF_000822
126913	AF_002732
128671	AF_003944
128671	AF_003968
128671	AF_004296
128671	AF_004313
128671	AF_004560
128671	AF_004864
128671	AF_004946
128671	AF_004949
128671	AF_005180
128671	AF_005425
128671	AF_005510
128671	AF_005630
128671	AF_005700
128671	AF_005708
128671	AF_005815
128671	AF_006011
128671	AF_006162
128671	AF_006307
128671	AF_006383
128671	AF_006433
128671	AF_006706
128671	AF_006874
128671	AF_006922
128671	AF_006930
128671	AF_007054
128671	AF_007148
130590	AF_000368
130590	AF_000804
130590	AF_000822
130590	AF_004747
130627	AF_000368
130627	AF_000804
130627	AF_000822
130627	AF_004747
131126	AF_000745
131126	AF_000746
131126	AF_001244
131126	AF_001301
131126	AF_001566
131126	AF_002007
131126	AF_002316
131126	AF_002394
131126	AF_003032
131126	AF_004267
131126	AF_004317
131126	AF_004662
131126	AF_005136
131126	AF_005674
131126	AF_006378
131126	AF_006703
131126	AF_006747
131126	AF_007319
131126	AF_007365
131126	AF_007426
131126	AF_007639
131126	AF_007774
131126	AF_007819
131126	AF_008102
131126	AF_008104
131126	AF_008114
131126	AF_008128
131126	AF_008775
131126	AF_008797
131126	AF_008856
131126	AF_009253
131126	AF_009275
131126	AF_009310
131126	AF_009312
131126	AF_009424
131130	AF_004267
131130	AF_004317
131130	AF_004662
131130	AF_005136
131130	AF_005674
131130	AF_006378
131130	AF_006703
131130	AF_006747
131130	AF_007319
131130	AF_008775
131130	AF_008856
131130	AF_009253
131134	AF_007365
131134	AF_007426
131134	AF_007639
131134	AF_007774
131134	AF_007819
131134	AF_008797
131230	AF_001244
131230	AF_001301
131230	AF_009275
132021	AF_001362
132021	AF_003101
132021	AF_003619
132021	AF_003652
132021	AF_003653
132021	AF_004731
132021	AF_007451
132021	AF_007532
132021	AF_007560
132021	AF_007604
132021	AF_007607
132021	AF_007673
132021	AF_007738
132021	AF_007747
132021	AF_007774
132021	AF_009261
132962	AF_000064
132962	AF_000439
132962	AF_000941
132962	AF_001585
132962	AF_008241
132962	AF_008497
132962	AF_008507
132988	AF_008739
144027	AF_001585
144184	AF_001585
148661	AF_000008
148661	AF_001982
148661	AF_008185
149817	AF_000008
149817	AF_001982
149817	AF_008185
153352	AF_002732
153377	AF_002732
153861	AF_005867
153861	AF_005926
153861	AF_006562
153861	AF_007060
153861	AF_007069
153861	AF_009243
153863	AF_001362
153863	AF_004137
154383	AF_002732
154411	AF_002732
167190	AF_000647
167190	AF_000651
167190	AF_000726
167190	AF_001968
167190	AF_002358
167190	AF_003101
167190	AF_003968
167190	AF_004027
167190	AF_004086
167190	AF_004249
167190	AF_004326
167190	AF_004474
167190	AF_004476
167190	AF_005003
167190	AF_005160
167190	AF_005813
167190	AF_005825
167190	AF_006353
167190	AF_006425
167190	AF_006426
167190	AF_006428
167190	AF_006449
167190	AF_006645
167190	AF_006650
167190	AF_006651
167190	AF_006667
167190	AF_006696
167190	AF_006914
167190	AF_007187
167190	AF_007352
167190	AF_007632
167190	AF_007688
167190	AF_007973
167190	AF_008290
167190	AF_008324
167190	AF_008360
167190	AF_008685
167190	AF_009259
167190	AF_009283
167190	AF_009380
167190	AF_009425
167191	AF_000008
167197	AF_003968
167197	AF_004249
167197	AF_004326
167197	AF_004474
167197	AF_004476
167197	AF_005003
167197	AF_005160
167197	AF_005813
167197	AF_005825
167197	AF_006353
167197	AF_006425
167197	AF_006426
167197	AF_006428
167197	AF_006449
167197	AF_006645
167197	AF_006650
167197	AF_006651
167197	AF_006667
167197	AF_006696
167197	AF_006914
167197	AF_007187
167200	AF_002358
167200	AF_003101
167200	AF_004086
167200	AF_007632
167200	AF_007688
167200	AF_009283
167330	AF_000008
167331	AF_004027
167331	AF_007973
169295	AF_002732
169307	AF_002732
173907	AF_001552
173907	AF_004635
173974	AF_001552
173974	AF_004635
175229	AF_000315
175229	AF_000747
175229	AF_001067
175229	AF_001220
175229	AF_001428
175229	AF_002305
175229	AF_002403
175229	AF_004388
175229	AF_004832
175229	AF_004852
175229	AF_004980
175229	AF_005329
175229	AF_005334
175229	AF_005502
175229	AF_006395
175229	AF_006450
175229	AF_006524
175229	AF_006842
175229	AF_006862
175229	AF_006928
175229	AF_007103
175229	AF_007796
175229	AF_008668
175229	AF_008669
175229	AF_008670
175229	AF_008842
175229	AF_009027
175229	AF_009247
175229	AF_009270
